,Unnamed: 0,Unnamed: 0.1,FileName,ARTIST,TITLE,Chart Date,Peak Position,Weeks on Chart,Target Rank,Actual Rank,Sample ID#,YoutubeLink,OriginalAudio,Year,SongGroup,HumName,WavFileName
18,18,646.0,TheMeters_LookKaPyPy_1970,The Meters,Look-Ka Py Py,1/31/70,56,10,56,56,1096,https://www.youtube.com/watch?v=J1S7aeKYAfA,True,1970,3,TheMeters_LookKaPyPy_1970.hum,wavs/TheMeters_LookKaPyPy_1970.wav
19,19,609.0,TheCrystals_HesARebel_1962,The Crystals,He's A Rebel,"1962/12/08, 1962/09/29","1, 1","18, 18","12, 44","11, 44","404, 1091",https://www.youtube.com/watch?v=G_SXJ18EkNw,True,1962,3,TheCrystals_HesARebel_1962.hum,wavs/TheCrystals_HesARebel_1962.wav
20,20,140.0,CliffRichard_WeDontTalkAnymore_1979,Cliff Richard,We Don't Talk Anymore,11/10/79,7,20,48,47,1273,https://www.youtube.com/watch?v=m8FCZ5x8Gpg,True,1979,4,CliffRichard_WeDontTalkAnymore_1979.hum,wavs/CliffRichard_WeDontTalkAnymore_1979.wav
21,21,530.0,SimonAndGarfunkel_AHazyShadeOfWinter_1966,Simon & Garfunkel,A Hazy Shade Of Winter,11/26/66,13,9,18,17,1121,https://www.youtube.com/watch?v=K_HeQEmzDXI,True,1966,4,SimonAndGarfunkel_AHazyShadeOfWinter_1966.hum,wavs/SimonAndGarfunkel_AHazyShadeOfWinter_1966.wav
22,22,242.0,EricClapton_LayDownSally_1978,Eric Clapton,Lay Down Sally,5/20/78,3,23,24,24,1040,https://www.youtube.com/watch?v=UBT9cww54v4,True,1978,4,EricClapton_LayDownSally_1978.hum,wavs/EricClapton_LayDownSally_1978.wav
23,23,288.0,GloriaGaynor_NeverCanSayGoodbye_1975,Gloria Gaynor,Never Can Say Goodbye,"1975/02/08, 1974/12/07","9, 9","17, 17","20, 35","20, 34","190, 1068",https://www.youtube.com/watch?v=ofcgjeELS0M,True,1975,4,GloriaGaynor_NeverCanSayGoodbye_1975.hum,wavs/GloriaGaynor_NeverCanSayGoodbye_1975.wav
24,24,196.0,DonnaSummer_LastDance_1978,Donna Summer,Last Dance,"1978/07/01, 1978/09/23, 1978/05/20","3, 3, 3","21, 21, 21","17, 99, 77","17, 98, 75","501, 1217, 1242",https://www.youtube.com/watch?v=G5rJunb4sIk,True,1978,4,DonnaSummer_LastDance_1978.hum,wavs/DonnaSummer_LastDance_1978.wav
25,25,351.0,JohnnyCash_IGotStripes_1959,Johnny Cash,I Got Stripes,8/24/59,43,11,54,55,1160,https://www.youtube.com/watch?v=lDabTO18lFI,True,1959,5,JohnnyCash_IGotStripes_1959.hum,wavs/JohnnyCash_IGotStripes_1959.wav
26,26,264.0,GenePitney_TownWithoutPity_1961,Gene Pitney,Town Without Pity,12/4/61,13,16,44,44,1037,https://www.youtube.com/watch?v=CyzAcTUHtvg,True,1961,5,GenePitney_TownWithoutPity_1961.hum,wavs/GenePitney_TownWithoutPity_1961.wav
27,27,588.0,TheBeatles_AHardDaysNight_1964,The Beatles,A Hard Day's Night,9/19/64,1,13,12,12,1142,https://www.youtube.com/watch?v=Pbg8T9r1DiQ,True,1964,5,TheBeatles_AHardDaysNight_1964.hum,wavs/TheBeatles_AHardDaysNight_1964.wav
28,28,340.0,JimmyReed_BabyWhatYouWantMeToDo_1960,Jimmy Reed,Baby What You Want Me To Do,"1960/05/16, 1960/04/04","37, 37","14, 14","93, 79","93, 80","1024, 1263",https://www.youtube.com/watch?v=sxP0H42etMA,True,1960,5,JimmyReed_BabyWhatYouWantMeToDo_1960.hum,wavs/JimmyReed_BabyWhatYouWantMeToDo_1960.wav
29,29,51.0,BillyIdol_WhiteWedding_1983,Billy Idol,White Wedding,"1983/07/23, 1983/07/02","36, 36","13, 13","54, 34","55, 36","701, 1296",https://www.youtube.com/watch?v=3jgtWzy-dPE,True,1983,5,BillyIdol_WhiteWedding_1983.hum,wavs/BillyIdol_WhiteWedding_1983.wav
30,30,665.0,TheRighteousBrothers_UnchainedMelody_1965,The Righteous Brothers,Unchained Melody,"1965/08/14, 1990/10/20"," 4, 13","13, 44"," 6, 25"," 6, 25","587, 1007",https://www.youtube.com/watch?v=xfF5gMqLl88,True,1965,6,TheRighteousBrothers_UnchainedMelody_1965.hum,wavs/TheRighteousBrothers_UnchainedMelody_1965.wav
31,31,592.0,TheBeatles_Help_1965,The Beatles,Help!,10/30/65,1,13,33,32,1244,https://www.youtube.com/watch?v=CTsB-llTzyc,True,1965,6,TheBeatles_Help_1965.hum,wavs/TheBeatles_Help_1965.wav
32,32,461.0,PaulMcCartneyAndWings_MyLove_1973,Paul McCartney & Wings,My Love,4/14/73,1,18,73,73,1163,https://www.youtube.com/watch?v=NUbz2NEAi80,True,1973,6,PaulMcCartneyAndWings_MyLove_1973.hum,wavs/PaulMcCartneyAndWings_MyLove_1973.wav
33,33,151.0,CreedenceClearwaterRevival_BadMoonRising_1969,Creedence Clearwater Revival,Bad Moon Rising,5/3/69,2,14,82,80,852,https://www.youtube.com/watch?v=w6iRNVwslM4,False,1969,6,CreedenceClearwaterRevival_BadMoonRising_1969.hum,wavs/CreedenceClearwaterRevival_BadMoonRising_1969.wav
34,34,729.0,WilsonPhillips_HoldOn_1990,Wilson Phillips,Hold On,"1990/04/14, 1990/03/31, 1990/05/26","1, 1, 1","25, 25, 25","23, 44,  4","25, 43,  4","385, 628, 911",https://www.youtube.com/watch?v=uIbXvaE39wM,False,1990,6,WilsonPhillips_HoldOn_1990.hum,wavs/WilsonPhillips_HoldOn_1990.wav
35,35,158.0,CultureClub_KarmaChameleon_1984,Culture Club,Karma Chameleon,4/28/84,1,22,99,97,979,https://www.youtube.com/watch?v=JmcA9LIIXWw,False,1984,7,CultureClub_KarmaChameleon_1984.hum,wavs/CultureClub_KarmaChameleon_1984.wav
36,36,468.0,PeterGabriel_ShockTheMonkey_1982,Peter Gabriel,Shock The Monkey,"1982/11/06, 1982/12/04","29, 29","18, 18","59, 39","60, 39","92, 141",https://www.youtube.com/watch?v=CnVf1ZoCJSo,False,1982,7,PeterGabriel_ShockTheMonkey_1982.hum,wavs/PeterGabriel_ShockTheMonkey_1982.wav
37,37,349.0,JohnDenver_SeasonsOfTheHeart_1982,John Denver,Seasons Of The Heart,8/21/82,78,5,78,78,463,https://www.youtube.com/watch?v=9VokVt-r4p0,False,1982,7,JohnDenver_SeasonsOfTheHeart_1982.hum,wavs/JohnDenver_SeasonsOfTheHeart_1982.wav
38,38,534.0,SimonAndGarfunkel_MrsRobinson_1968,Simon & Garfunkel,Mrs. Robinson,6/1/68,1,13,2,1,616,https://www.youtube.com/watch?v=9C1BCAgu2I8,False,1968,7,SimonAndGarfunkel_MrsRobinson_1968.hum,wavs/SimonAndGarfunkel_MrsRobinson_1968.wav
39,39,337.0,JimmyClanton_JustADream_1958,Jimmy Clanton,Just A Dream,"1958/10/27, 1958/09/15","4, 4","18, 18","31,  6","29,  5","185, 805",https://www.youtube.com/watch?v=Q8zYkmvqHdQ,False,1958,7,JimmyClanton_JustADream_1958.hum,wavs/JimmyClanton_JustADream_1958.wav
40,40,144.0,Commodores_Nightshift_1985,Commodores,Nightshift,5/18/85,3,22,22,24,992,https://www.youtube.com/watch?v=sG37S8C9lyw,False,1985,8,Commodores_Nightshift_1985.hum,wavs/Commodores_Nightshift_1985.wav
41,41,469.0,PetShopBoys_AlwaysOnMyMind_1988,Pet Shop Boys,Always On My Mind,4/30/88,4,14,12,11,184,https://www.youtube.com/watch?v=2j3JeR8NjYw,False,1988,8,PetShopBoys_AlwaysOnMyMind_1988.hum,wavs/PetShopBoys_AlwaysOnMyMind_1988.wav
42,42,104.0,BruceSpringsteen_MyHometown_1985,Bruce Springsteen,My Hometown,12/14/85,6,15,44,44,1066,https://www.youtube.com/watch?v=77gKSp8WoRg,False,1985,8,BruceSpringsteen_MyHometown_1985.hum,wavs/BruceSpringsteen_MyHometown_1985.wav
43,43,315.0,JamesBrown_ColdSweatPart1_1967,James Brown,Cold Sweat - Part 1,7/29/67,7,12,56,58,79,https://www.youtube.com/watch?v=zOl4icFiI14,False,1967,8,JamesBrown_ColdSweatPart1_1967.hum,wavs/JamesBrown_ColdSweatPart1_1967.wav
44,44,297.0,Heart_MagicMan_1976,Heart,Magic Man,"1976/10/30, 1976/08/07","9, 9","23, 23","12, 71","10, 73","215, 800",https://www.youtube.com/watch?v=Ps7tVvQHLyo,False,1976,8,Heart_MagicMan_1976.hum,wavs/Heart_MagicMan_1976.wav
45,45,386.0,LesleyGore_CaliforniaNights_1967,Lesley Gore,California Nights,"1967/04/22, 1967/03/11","16, 16","14, 14","32, 25","33, 27","813, 896",https://www.youtube.com/watch?v=fp69yVqqidQ,False,1967,9,LesleyGore_CaliforniaNights_1967.hum,wavs/LesleyGore_CaliforniaNights_1967.wav
46,46,403.0,Madonna_OhFather_1990,Madonna,Oh Father,2/3/90,20,13,100,100,1140,https://www.youtube.com/watch?v=qvVvN0QvzTk,False,1990,9,Madonna_OhFather_1990.hum,wavs/Madonna_OhFather_1990.wav
47,47,715.0,UB40_RedRedWine_1984,UB40,Red Red Wine,4/7/84,1,40,33,34,83,https://www.youtube.com/watch?v=zXt56MB-3vc,False,1984,9,UB40_RedRedWine_1984.hum,wavs/UB40_RedRedWine_1984.wav
48,48,496.0,RickJames_SuperFreak_1981,Rick James,Super Freak (Part I),12/19/81,16,24,74,72,812,https://www.youtube.com/watch?v=QYHxGBH6o4M,False,1981,9,RickJames_SuperFreak_1981.hum,wavs/RickJames_SuperFreak_1981.wav
49,49,150.0,Cream_SunshineOfYourLove_1968,Cream,Sunshine Of Your Love,3/30/68,5,26,60,60,114,https://www.youtube.com/watch?v=oPYot0Wk7UY,False,1968,9,Cream_SunshineOfYourLove_1968.hum,wavs/Cream_SunshineOfYourLove_1968.wav
50,50,377.0,KoolAndTheGang_JungleBoogie_1974,Kool & The Gang,Jungle Boogie,1/19/74,4,22,22,22,331,https://www.youtube.com/watch?v=-BM5wPOe0xQ,False,1974,10,KoolAndTheGang_JungleBoogie_1974.hum,wavs/KoolAndTheGang_JungleBoogie_1974.wav
51,51,62.0,BingCrosby_WhiteChristmas_1962,Bing Crosby,White Christmas,12/29/62,12,13,40,38,241,https://www.youtube.com/watch?v=-eJwnD-XLzQ,False,1962,10,BingCrosby_WhiteChristmas_1962.hum,wavs/BingCrosby_WhiteChristmas_1962.wav
52,52,549.0,SteveMillerBand_RocknMe_1976,Steve Miller Band,Rock'n Me,9/25/76,1,18,20,21,1249,https://www.youtube.com/watch?v=pIF9hCgImTY,False,1976,10,SteveMillerBand_RocknMe_1976.hum,wavs/SteveMillerBand_RocknMe_1976.wav
53,53,2.0,ABBA_Chiquitita_1979,ABBA,Chiquitita,12/15/79,29,12,34,35,183,https://www.youtube.com/watch?v=I1y4Wv2JlyM,False,1979,10,ABBA_Chiquitita_1979.hum,wavs/ABBA_Chiquitita_1979.wav
54,54,243.0,EricClapton_LetItRain_1972,Eric Clapton,Let It Rain,12/2/72,48,13,48,48,116,https://www.youtube.com/watch?v=y86kDFaJ2h4,False,1972,10,EricClapton_LetItRain_1972.hum,wavs/EricClapton_LetItRain_1972.wav
55,55,725.0,Whitesnake_HereIGoAgain_1987,Whitesnake,Here I Go Again,9/26/87,1,28,1,2,300,https://www.youtube.com/watch?v=WyF8RHM1OCg,False,1987,11,Whitesnake_HereIGoAgain_1987.hum,wavs/Whitesnake_HereIGoAgain_1987.wav
56,56,295.0,HarryChapin_SundayMorningSunshine_1972,Harry Chapin,Sunday Morning Sunshine,11/25/72,75,6,78,80,412,https://www.youtube.com/watch?v=sZr1iq-D-YU,False,1972,11,HarryChapin_SundayMorningSunshine_1972.hum,wavs/HarryChapin_SundayMorningSunshine_1972.wav
57,57,15.0,AnitaBaker_CaughtUpInTheRapture_1987,Anita Baker,Caught Up In The Rapture,"1987/03/21, 1987/02/28","37, 37","18, 18","85, 56","85, 56","647, 709",https://www.youtube.com/watch?v=i8f0lLqkIDE,False,1987,11,AnitaBaker_CaughtUpInTheRapture_1987.hum,wavs/AnitaBaker_CaughtUpInTheRapture_1987.wav
58,58,334.0,JFrankWilsonAndTheCavaliers_LastKiss_1964,J. Frank Wilson & The Cavaliers,Last Kiss,"1964/09/05, 1974/01/05, 1964/10/17","2, 2, 2","20, 20, 20","71, 94,  4","73, 93,  5","54, 247, 402",https://www.youtube.com/watch?v=bh4se9YMV3A,False,1964,11,JFrankWilsonAndTheCavaliers_LastKiss_1964.hum,wavs/JFrankWilsonAndTheCavaliers_LastKiss_1964.wav
59,59,679.0,TheRollingStones_WildHorses_1971,The Rolling Stones,Wild Horses,6/19/71,28,8,83,85,94,https://www.youtube.com/watch?v=CmvmkKA5BRA,False,1971,11,TheRollingStones_WildHorses_1971.hum,wavs/TheRollingStones_WildHorses_1971.wav
60,60,406.0,MarkyMark_GoodVibrations_1991,Marky Mark,Good Vibrations,"1991/11/09, 1991/11/09","1, 1","19, 19","31, 30","31, 31","352, 503",https://www.youtube.com/watch?v=Zjk4CCVxWZM,False,1991,12,MarkyMark_GoodVibrations_1991.hum,wavs/MarkyMark_GoodVibrations_1991.wav
61,61,274.0,GeorgeHarrison_GotMyMindSetOnYou_1988,George Harrison,Got My Mind Set On You,1/23/88,1,22,3,4,845,https://www.youtube.com/watch?v=_71w4UA2Oxo,False,1988,12,GeorgeHarrison_GotMyMindSetOnYou_1988.hum,wavs/GeorgeHarrison_GotMyMindSetOnYou_1988.wav
62,62,663.0,TheRembrandts_Someone_1991,The Rembrandts,Someone,6/1/91,78,10,91,93,414,https://www.youtube.com/watch?v=d0GAsYpxvlo,False,1991,12,TheRembrandts_Someone_1991.hum,wavs/TheRembrandts_Someone_1991.wav
63,63,389.0,LindaRonstadt_WhenWillIBeLoved_1975,Linda Ronstadt,When Will I Be Loved,"1975/07/26, 1975/07/19","2, 2","19, 19","72, 23","73, 23","324, 839",https://www.youtube.com/watch?v=MiUvPr3_6iE,False,1975,12,LindaRonstadt_WhenWillIBeLoved_1975.hum,wavs/LindaRonstadt_WhenWillIBeLoved_1975.wav
64,64,458.0,PaulMcCartney_MaybeImAmazed_1977,Paul McCartney,Maybe I'm Amazed,3/5/77,10,13,20,20,206,https://www.youtube.com/watch?v=cdDPR8GzXy8,False,1977,12,PaulMcCartney_MaybeImAmazed_1977.hum,wavs/PaulMcCartney_MaybeImAmazed_1977.wav
65,65,448.0,OtisRedding_TheDockOfTheBay_1968,Otis Redding,(Sittin' On) The Dock Of The Bay,3/23/68,1,16,1,1,645,https://www.youtube.com/watch?v=rTVjnBo96Ug,False,1968,13,OtisRedding_TheDockOfTheBay_1968.hum,wavs/OtisRedding_TheDockOfTheBay_1968.wav
66,66,162.0,CyndiLauper_TheGooniesRGoodEnough_1985,Cyndi Lauper,The Goonies R Good Enough,6/22/85,10,15,17,19,401,https://www.youtube.com/watch?v=x7fMLJegjqU,False,1985,13,CyndiLauper_TheGooniesRGoodEnough_1985.hum,wavs/CyndiLauper_TheGooniesRGoodEnough_1985.wav
67,67,596.0,TheBeatles_ObLaDiObLaDa_1976,The Beatles,"Ob-La-Di, Ob-La-Da",12/11/76,49,7,49,49,1107,https://www.youtube.com/watch?v=_Paqe2-BCYM,False,1976,13,TheBeatles_ObLaDiObLaDa_1976.hum,wavs/TheBeatles_ObLaDiObLaDa_1976.wav
68,68,294.0,HankSnow_IveBeenEverywhere_1962,Hank Snow,I've Been Everywhere,10/20/62,68,8,86,86,1059,https://www.youtube.com/watch?v=_w_Fm7g5Qb8,False,1962,13,HankSnow_IveBeenEverywhere_1962.hum,wavs/HankSnow_IveBeenEverywhere_1962.wav
69,69,719.0,VillagePeople_InTheNavy_1979,Village People,In The Navy,5/12/79,3,18,4,5,306,https://www.youtube.com/watch?v=nmGuy0jievs,False,1979,13,VillagePeople_InTheNavy_1979.hum,wavs/VillagePeople_InTheNavy_1979.wav
70,70,98.0,BrendaLee_SweetNothins_1960,Brenda Lee,Sweet Nothin's,1/4/60,4,24,77,79,162,https://www.youtube.com/watch?v=KWgyum5fjJc,False,1960,14,BrendaLee_SweetNothins_1960.hum,wavs/BrendaLee_SweetNothins_1960.wav
71,71,366.0,JuiceNewton_QueenOfHearts_1981,Juice Newton,Queen Of Hearts,7/4/81,2,27,22,23,690,https://www.youtube.com/watch?v=NW5K0YVgyqk,False,1981,14,JuiceNewton_QueenOfHearts_1981.hum,wavs/JuiceNewton_QueenOfHearts_1981.wav
72,72,589.0,TheBeatles_ComeTogether_1969,The Beatles,Come Together,10/25/69,1,16,13,13,473,https://www.youtube.com/watch?v=45cYwDMibGo,False,1969,14,TheBeatles_ComeTogether_1969.hum,wavs/TheBeatles_ComeTogether_1969.wav
73,73,428.0,MilliVanilli_BabyDontForgetMyNumber_1989,Milli Vanilli,Baby Don't Forget My Number,5/27/89,1,21,21,22,1276,https://www.youtube.com/watch?v=JhyzGDPwmYU,False,1989,14,MilliVanilli_BabyDontForgetMyNumber_1989.hum,wavs/MilliVanilli_BabyDontForgetMyNumber_1989.wav
74,74,582.0,TheBeachBoys_InMyRoom_1963,The Beach Boys,In My Room,11/23/63,23,11,44,44,270,https://www.youtube.com/watch?v=WJ12fKVuHsM,False,1963,14,TheBeachBoys_InMyRoom_1963.hum,wavs/TheBeachBoys_InMyRoom_1963.wav
75,75,680.0,TheRonettes_BeMyBaby_1963,The Ronettes,Be My Baby,"1963/09/28, 1963/09/28","2, 2","13, 13","1, 3","3, 3","120, 903",https://www.youtube.com/watch?v=NnWOBMQhNBQ,False,1963,15,TheRonettes_BeMyBaby_1963.hum,wavs/TheRonettes_BeMyBaby_1963.wav
76,76,20.0,AnneMurray_LoveSong_1974,Anne Murray,Love Song,1/5/74,12,17,62,60,917,https://www.youtube.com/watch?v=A0p4BU4ROE4,False,1974,15,AnneMurray_LoveSong_1974.hum,wavs/AnneMurray_LoveSong_1974.wav
77,77,164.0,DarylHallAndJohnOates_KissOnMyList_1981,Daryl Hall & John Oates,Kiss On My List,1/31/81,1,23,56,55,18,https://www.youtube.com/watch?v=lsHld-iArOc,False,1981,15,DarylHallAndJohnOates_KissOnMyList_1981.hum,wavs/DarylHallAndJohnOates_KissOnMyList_1981.wav
78,78,163.0,CyndiLauper_TrueColors_1986,Cyndi Lauper,True Colors,9/13/86,1,20,38,40,803,https://www.youtube.com/watch?v=LPn0KFlbqX8,False,1986,15,CyndiLauper_TrueColors_1986.hum,wavs/CyndiLauper_TrueColors_1986.wav
79,79,420.0,Metallica_One_1989,Metallica,One,5/20/89,35,15,89,89,884,https://www.youtube.com/watch?v=WehVHuT9zik,False,1989,15,Metallica_One_1989.hum,wavs/Metallica_One_1989.wav
80,80,572.0,The5thDimension_IfICouldReachYou_1972,The 5th Dimension,If I Could Reach You,9/23/72,10,15,47,47,433,https://www.youtube.com/watch?v=ge1kvp6F2Zs,False,1972,16,The5thDimension_IfICouldReachYou_1972.hum,wavs/The5thDimension_IfICouldReachYou_1972.wav
81,81,625.0,TheEverlyBrothers_WalkRightBack_1961,The Everly Brothers,Walk Right Back,5/1/61,7,13,52,50,153,https://www.youtube.com/watch?v=ZBDmsU3ZRNM,False,1961,16,TheEverlyBrothers_WalkRightBack_1961.hum,wavs/TheEverlyBrothers_WalkRightBack_1961.wav
82,82,466.0,PeggyLee_Fever_1958,Peggy Lee,Fever,9/22/58,8,16,32,33,396,https://www.youtube.com/watch?v=Kjy2sZ8yBGQ,False,1958,16,PeggyLee_Fever_1958.hum,wavs/PeggyLee_Fever_1958.wav
83,83,472.0,PhilCollins_TwoHearts_1989,Phil Collins,Two Hearts,2/25/89,1,18,50,48,43,https://www.youtube.com/watch?v=SidxJz94Svs,False,1989,16,PhilCollins_TwoHearts_1989.hum,wavs/PhilCollins_TwoHearts_1989.wav
84,84,553.0,StevieB_BecauseILoveYou_1991,Stevie B,Because I Love You (The Postman Song),"1991/02/16, 1991/02/23","1, 1","23, 23","50, 63","49, 65","242, 782",https://www.youtube.com/watch?v=Xc1uQI2XmZs,False,1991,16,StevieB_BecauseILoveYou_1991.hum,wavs/StevieB_BecauseILoveYou_1991.wav
85,85,445.0,Oliver_GoodMorningStarshine_1969,Oliver,Good Morning Starshine,7/12/69,3,13,4,3,834,https://www.youtube.com/watch?v=-I-NbgskFeY,False,1969,17,Oliver_GoodMorningStarshine_1969.hum,wavs/Oliver_GoodMorningStarshine_1969.wav
86,86,299.0,Heart_WhoWillYouRunTo_1987,Heart,Who Will You Run To,12/12/87,7,22,89,90,1089,https://www.youtube.com/watch?v=fM44F-M78Vs,False,1987,17,Heart_WhoWillYouRunTo_1987.hum,wavs/Heart_WhoWillYouRunTo_1987.wav
87,87,616.0,TheEagles_AlreadyGone_1974,The Eagles,Already Gone,5/4/74,32,15,99,97,209,https://www.youtube.com/watch?v=rOHnwTiJWVQ,False,1974,17,TheEagles_AlreadyGone_1974.hum,wavs/TheEagles_AlreadyGone_1974.wav
88,88,631.0,TheHollies_CarrieAnne_1967,The Hollies,Carrie-Anne,8/26/67,9,13,18,18,477,https://www.youtube.com/watch?v=uLcSXNtdqbE,False,1967,17,TheHollies_CarrieAnne_1967.hum,wavs/TheHollies_CarrieAnne_1967.wav
89,89,179.0,DepecheMode_WorldInMyEyes_1990,Depeche Mode,World In My Eyes,"1990/12/22, 1990/11/24","52, 52","10, 10","54, 70","52, 71","442, 757",https://www.youtube.com/watch?v=nhZdL4JlnxI,False,1990,17,DepecheMode_WorldInMyEyes_1990.hum,wavs/DepecheMode_WorldInMyEyes_1990.wav
90,90,28.0,BachmanTurnerOverdrive_RollOnDownTheHighway_1975,Bachman-Turner Overdrive,Roll On Down The Highway,1/25/75,14,11,55,55,351,https://www.youtube.com/watch?v=m6mshV6EJq8,False,1975,18,BachmanTurnerOverdrive_RollOnDownTheHighway_1975.hum,wavs/BachmanTurnerOverdrive_RollOnDownTheHighway_1975.wav
